work_date,process,line,model,qty,cause_code,cause_name,result_group,result_code,result_desc,reason_code,reason_desc,is_auto,comment
2026-06-07,MI,MI 2,L55S7_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-07,MI,MI 2,L55S7_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-08,MI,MI 2,L55S7_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-08,MI,MI 2,L55S7_HVD,1,CRACK,크랙/균열,Scrap_Defect,B206,FT_PM#01,D109,ETC ( Add Comment ),N,SCRAP Sau khi test FT phát hiện nứt gãy
2026-06-08,MI,MI 4,L55S7_HVD,1,CRACK,크랙/균열,Scrap_Defect,B206,FT_PM#01,D109,ETC ( Add Comment ),N,MI :: SCRAP Board nứt gãy khi qua máy FT
2026-06-09,MI,MI 2,L55S7_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-09,MI,MI 2,L55S7_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-09,MI,MI 2,L55S7_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-10,MI,MI 1,L55S7_HVD,1,ETC,기타,Final Visual Inspection,B506,ETC ( Add Comment ),D109,ETC ( Add Comment ),N,QC :: SCRAP Lỗi vật tư board không cắt viền IQC
2026-06-10,MI,MI 2,L55S7_HVD,1,ETC,기타,Final Visual Inspection,B506,ETC ( Add Comment ),D109,ETC ( Add Comment ),N,QC :: SCRAP Lỗi vật tư board không cắt viền IQC
2026-06-10,MI,MI 1,L55S7_HVD,1,ETC,기타,Final Visual Inspection,B506,ETC ( Add Comment ),D109,ETC ( Add Comment ),N,QC :: SCRAP Lỗi vật tư board không cắt viền IQC
2026-06-10,MI,MI 2,L55S7_HVD,1,ETC,기타,Final Visual Inspection,B506,ETC ( Add Comment ),D109,ETC ( Add Comment ),N,QC :: SCRAP Lỗi vật tư board không cắt viền IQC
2026-06-10,MI,MI 2,L55S7_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-11,MI,MI 2,L55S7_HVD,1,BROKEN_DROP,낙하/파손,Final Visual Inspection,B506,ETC ( Add Comment ),D109,ETC ( Add Comment ),N,MI :: SCRAP Do khi sắp xếp tồn vướng bao tay rớt bể board
2026-06-11,MI,MI 2,L55S7_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-11,MI,MI 4,L55S7_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-12,MI,MI 2,L55S7_HVD,1,ETC,기타,Final Visual Inspection,B506,ETC ( Add Comment ),D109,ETC ( Add Comment ),N,"QC :: SCRAP Board không cắt viền, lỗi vật tư đầu vào IQC"
2026-06-13,MI,MI 2,L55S7_HVD,1,ETC,기타,Final Visual Inspection,B506,ETC ( Add Comment ),D109,ETC ( Add Comment ),N,MI :: SCRAP Ngoại quan DSP phát hiện 1ea mẻ góc. không rõ nguyên nhân. Thạch
2026-06-13,MI,MI 2,L55S7_HVD,1,BROKEN_DROP,낙하/파손,Scrap_Defect,B207,BI_PM#01,D102,Broken,N,MI :: SCRAP Do tủ burin ngăn để board bị tuột ốc dẫn đến bị sập rơi board bể
2026-06-13,MI,MI 4,L55S7_HVD,1,BROKEN_DROP,낙하/파손,Scrap_Defect,B207,BI_PM#01,D102,Broken,N,MI :: SCRAP Do tủ burin ngăn để board bị tuột ốc dẫn đến bị sập rơi board bể
2026-06-13,MI,MI 2,L55S7_HVD,1,BROKEN_DROP,낙하/파손,Scrap_Defect,B207,BI_PM#01,D102,Broken,N,MI :: SCRAP Do tủ burin ngăn để board bị tuột ốc dẫn đến bị sập rơi board bể
2026-06-13,MI,MI 2,L55S7_HVD,1,BROKEN_DROP,낙하/파손,Scrap_Defect,B207,BI_PM#01,D102,Broken,N,MI :: SCRAP Do tủ burin ngăn để board bị tuột ốc dẫn đến bị sập rơi board bể
2026-06-13,MI,MI 2,L55S7_HVD,1,ETC,기타,Scrap_Defect,B206,FT_PM#01,D102,Broken,N,SCRAP Do lỗi FT repair sữa chữa nhiều lần vẫn Ng
2026-06-13,MI,MI 2,L55S7_HVD,1,BROKEN_DROP,낙하/파손,Final Visual Inspection,B506,ETC ( Add Comment ),D109,ETC ( Add Comment ),N,MI :: SCRAP do OP lấy board từ tủ burn in vướn dây dẫn đến rơi rớt và gãy board
2026-06-13,MI,MI 2,L55S7_HVD,1,BROKEN_DROP,낙하/파손,Final Visual Inspection,B506,ETC ( Add Comment ),D109,ETC ( Add Comment ),N,MI :: SCRAP do OP lấy board từ tủ burn in vướn dây dẫn đến rơi rớt và gãy board
2026-06-14,MI,MI 2,L55S7_HVD,1,BROKEN_DROP,낙하/파손,Final Visual Inspection,B506,ETC ( Add Comment ),D109,ETC ( Add Comment ),N,MI :: SCRAP do OP lấy board ra sửa làm va chạm vào thành băng tải dẫn đến rơi và bể board
2026-06-14,MI,MI 4,L55S7_HVD,1,BROKEN_BI,Burn-in파손,Scrap_Defect,B202,SMT_PS#01,D102,Broken,N,SCRAPlỗi keo đỏ repair châm chì nhiều lần chốc pad đồng
2026-06-15,MI,MI 2,L55S7_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-17,MI,MI 2,L55S7_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-07,MI,MI 3,L65S7_FVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-11,SMT,PS01,L65S7N_FVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-03,SMT,PS08,L65S7_HVD,1,ETC,기타,Scrap_Defect,B202,SMT_PS#01,D102,Broken,N,SMD
2026-06-03,SMT,PS08,L65S7_HVD,1,ETC,기타,Scrap_Defect,B202,SMT_PS#01,C003,Part Broken,N,SMD
2026-06-03,SMT,PS08,L65S7_HVD,1,ETC,기타,SMT_PS#01,S106,Part Broken,D102,Broken,N,SMD
2026-06-03,MI,MI 3,L65S7_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-04,MI,MI 3,L65S7_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-05,MI,MI 3,L65S7_HVD,1,BROKEN_DROP,낙하/파손,Scrap_Defect,B203,AOI_PM#01,D102,Broken,N,SCRAP do công nhân thao tác tại công đoạn thả AOI khi bốc Board ra megazine vướng bao tay rớt board dẫn đến bể board
2026-06-05,MI,MI 3,L65S7_HVD,1,BROKEN_DROP,낙하/파손,Scrap_Defect,B203,AOI_PM#01,D102,Broken,N,SCRAP do công nhân thao tác tại công đoạn thả AOI khi bốc Board ra megazine vướng bao tay rớt board dẫn đến bể board
2026-06-02,기타,MBS-03-F,"3IN1, SMD(T), JDM",1,PAD_DAMAGE,Pad손상,Scrap_Defect,B210,APT#01,D101,Pattern Peel Off,N,"SCRAP Do op làm sai thao tác, để lệch jig test FT; Jig FT cấn tróc mạch."
2026-06-03,기타,MBS-03-R,"3IN1, SMD(T), M70H",1,ETC,기타,APT#01,F217,Power On,D101,Pattern Peel Off,N,SCRAP FT NG sửa nhiều lần không được
2026-06-03,기타,MBS-03-F,"3IN1, SMD(T), M70H",1,ETC,기타,APT#01,F217,Power On,D101,Pattern Peel Off,N,SCRAP FT NG sửa nhiều lần không được
2026-06-09,기타,MBS-03-F,"3IN1, SMD(T), M70H",1,ETC,기타,APT#01,F217,Power On,D101,Pattern Peel Off,N,SCRAP Lỗi PCB vendor
2026-06-09,기타,MBS-03-F,"3IN1, SMD(T), M70H",1,PAD_DAMAGE,Pad손상,AOI_MBS#01,S206,Part Broken,D101,Pattern Peel Off,N,"SCRAP Lỗi PCB vendor "" Oxi hóa pad đồng"""
2026-06-09,기타,MBS-03-F,"3IN1, SMD(T), M70H",1,ETC,기타,APT#01,F217,Power On,D106,PCB Oxide,N,SCRAP Lỗi PCB vendor
2026-06-09,기타,MBS-03-R,"3IN1, SMD(T), M70H",1,ETC,기타,APT#01,F214,Cam Read Check,D106,PCB Oxide,N,SCRAP Lỗi PCB vendor
2026-06-09,기타,MBS-03-R,"3IN1, SMD(T), M70H",1,ETC,기타,APT#01,F217,Power On,D106,PCB Oxide,N,SCRAP Lỗi PCB vendor
2026-06-16,기타,MBS-03-R,"3IN1, SMD(T), M70H",1,ETC,기타,DSP#01,G104,NO Picture,C024,Part NG,N,ME :: REPAIR SCRAP SỬA NHIỀU LẦN KHÔNG ĐƯƠC
2026-06-17,기타,MBS-03-F,"3IN1, SMD(T), M70H",1,ETC,기타,APT#01,F203,Model Option Check,C003,Part Broken,N,SCRAP Lỗi PCB vendor
2026-06-03,기타,MBS-03-F,"3IN1, SMD(T), U8000H",1,PAD_DAMAGE,Pad손상,APT#01,F217,Power On,D101,Pattern Peel Off,N,SCRAP Do op làm sai thao tác test board làm tróc mạch
